t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,phi,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau,std_S
29.6,0.0017796329978364102,0.998599447203,-0.0003117831265729716,0.02927362057083177,6,0.00013959589999998912,0.06411047376889517,0.029075678087562073,2.2023283688129642,1.012004039410493e-07,0.9933071490564928,0.30048848398485933,0.011604843905523275,8.168711616722137,-0.009035515210577827,0,11.465006430882088,0.8397800325637667,1.0,0.8543344146715075,1.5,0.30000000000000004,4.6000000000000005,chronique,1.618,0.011875099798471553,0.00723996452364527,0.4000000000000003,0.4056970099571725,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5451244170745294,0.39981934164098243,1.5,2.7815016220072613,8.596507241588329e-05
29.700000000000003,0.001798300229485778,0.9986122030443703,-0.0003134450345043279,0.02921199361651453,6,0.00013730409999999083,0.06593113712049158,0.029016285280811432,2.1953049812464145,9.795199058249564e-08,0.9933071490571097,0.3189061569671966,0.011703640901652693,8.168711616722137,0.01820663351596405,0,11.555586385538556,0.839774711498415,1.0,0.854334078927702,1.5,0.30000000000000004,4.6000000000000005,chronique,1.618,0.011859016078550203,0.007183488399801171,0.4000000000000003,0.405740312889838,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5455681273630499,0.3998422454838916,1.5,2.781501118391553,9.267779679179412e-05
29.8,0.0018090614756322376,0.9986252972900542,-0.00031312516223448413,0.029272424586626017,6,0.00013626250000000616,0.06472399650887181,0.029074661312378507,2.18829727220605,1.0094333685312431e-07,0.9933071490565416,0.32726113503867665,0.011761470783672493,8.168711616722137,-0.012071406116197642,0,11.647609002504675,0.8397696581658705,1.0,0.8543340174123656,1.5,0.30000000000000004,4.6000000000000005,chronique,1.618,0.011835402893783011,0.0071355310798299374,0.4000000000000003,0.40577333467425536,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5450317121694245,0.3998596719166236,1.5,2.781501026118548,9.938483871826203e-05
29.900000000000002,0.0018244623023934853,0.9986386102763986,-0.0003145589718798738,0.02920906894789976,6,0.00013659999999999785,0.06660713184768935,0.029013575247088075,2.181311853452484,9.477529980470945e-08,0.993307149057713,0.333320404262624,0.011909384733044334,8.168711616722137,0.018831353388175376,0,11.685442673362685,0.8397648981822305,1.0,0.8543343273502426,1.5,0.30000000000000004,4.7,chronique,1.618,0.011806391533121194,0.007072258147457941,0.4000000000000003,0.4058140607821318,adaptive,0.1,0.4,spiral_log,4.714285714285714,0.5453553007989406,0.3998720717690071,1.5,2.781501491025364,0.0001062450691872108
30.0,0.001831246447162661,0.9986520196814236,-0.0003138172677763159,0.02927107660870489,6,0.0001356416000000138,0.06509322178914793,0.029073498290790274,2.1743559231576968,9.973670779998916e-08,0.9933071490567708,0.33210324327349816,0.011961855086077324,8.045307391076877,-0.01513910058541415,0,11.723522927226771,0.8397603593272822,1.0,0.8543347759889367,1.5,0.30000000000000004,4.7,chronique,1.618,0.011770043748067772,0.00701405049680467,0.4000000000000003,0.40583990060689185,resonance,0.1,0.4,spiral_log,4.714285714285714,0.5440937583853397,0.3998798731258045,1.5,2.781502163983405,0.00011276728210801966
30.1,0.0018419246590156962,0.9986654011616651,-0.0003150120873731215,0.029228742954230315,8,0.00014209159999998278,0.07066289389909514,0.029031949938161338,2.16743581408218,9.297497018571754e-08,0.9933071490580551,0.33003726243089987,0.01208927089865701,8.045307391076877,0.05569672109947202,0,11.750512418968238,0.8397560551224275,1.0,0.8543354457446308,1.5,0.30000000000000004,4.7,chronique,1.618,0.01172791274364399,0.006967700406900526,0.4000000000000003,0.40587572070489547,resonance,0.1,0.4,spiral_log,4.714285714285714,0.5442057727668015,0.39988344481584426,1.5,2.781503168616946,0.00011912789989199355
30.200000000000003,0.0018450595266132465,0.9986786290047944,-0.0003137577823915917,0.02927649385217213,6,0.00013320839999999556,0.05847922650076132,0.02907811979064461,2.160558376413608,9.739435356790636e-08,0.9933071490572157,0.3232921471667596,0.012145296855479213,8.045307391076877,-0.1218366739833382,0,11.777626466018074,0.8397519355912789,1.0,0.8543361306666458,1.5,0.30000000000000004,4.800000000000001,chronique,1.618,0.011682495395116097,0.006899213804516513,0.4000000000000003,0.4058725818922236,resonance,0.1,0.4,spiral_log,4.714285714285714,0.5395746917948897,0.39988308834963887,1.5,2.781504195999969,0.00012497943913339132
30.3,0.0018495191051309716,0.9986915767946898,-0.0003144213975089343,0.029251507950497403,6,0.00013802910000002556,0.05145706422236828,0.029052714970547528,2.153729675713355,9.206401129549852e-08,0.9933071490582281,0.31582523234773185,0.012251133268503427,8.045307391076877,-0.07022162278393036,0,11.872759115245788,0.8397479884587946,1.0,0.8543368625499327,1.5,0.30000000000000004,4.800000000000001,stable,1.618,0.01163053864917526,0.006807858687575304,0.4000000000000003,0.40590377135558936,resonance,0.1,0.4,spiral_log,4.714285714285714,0.5395049563608623,0.3998790861132949,1.5,2.781505293824899,0.00013040730280103422
30.400000000000002,0.0018506470725168792,0.998704118085536,-0.00031417148262687686,0.0292447406250366,0,0.00014361670000000436,0.03988434739617123,0.029045859690966885,2.146956258347506,9.051548862728438e-08,0.9933071490585224,0.306480795449463,0.012332686917853549,8.045307391076877,-0.11572716826197052,0,11.969441129034017,0.8397441853517327,1.0,0.8543375419160576,1.5,0.30000000000000004,4.9,stable,1.618,0.011568996319907418,0.006729429910688099,0.4000000000000003,0.4059490418139714,resonance,0.1,0.4,spiral_log,4.714285714285714,0.5083435969754151,0.39987162546960225,1.5,2.781506312874086,0.00013530182741916693
30.5,0.00184904675574379,0.9987161270814722,-0.0003135341049486743,0.029243776769861105,8,0.0001443915999999934,0.037179312625660044,0.02904496317892466,2.1402442317488353,9.030201328949392e-08,0.9933071490585629,0.29598951037048743,0.01240606915838573,7.924547567543468,-0.027050347705111846,0,12.037675392021082,0.8397405011295578,1.0,0.8543381350865418,1.5,0.30000000000000004,4.9,stable,1.618,0.011500918447466008,0.006649744834082999,0.4000000000000003,0.4059705526372109,resonance,0.1,0.4,spiral_log,4.714285714285714,0.4789422060644242,0.39986093973403947,1.5,2.781507202629813,0.00013959660515592775
