t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
3.8,-0.0335294020153,0.999993293982,-0.000567916724838,0.100918547473,7,0.0001084709,0.93887014224,0.0991822970417,2.63272466864,0.115653622887,0.993285145461,0.632946169414,0.0335945955673,34.4744344276,-15.2301058785,0,4.49846815692,0.756470061884,1,0.867493000973,0.4,0.2,0.9,chronique,0.0269785584467,0.0155226731418,0.846824377597,0.854648764652,tanh,0.1,,,,0.286285177243,0.252474469838,0.4,0.746997200389
3.9,-0.0331149429844,0.999993932617,-0.000350045248057,0.0982416871624,9,0.0001048208,1.78605296916,0.095918859753,2.65977709393,0.0754793932756,0.993292796919,0.646987990033,0.030290201168,34.4744344276,8.47182826916,0,4.19865195636,0.758052627692,1,0.870544100053,0.4,0.2,0.9,chronique,0.0255225164534,0.0162126341131,1,0.985179445433,tanh,0.1,,,,0.256356910865,0.26671083892,0.4,0.748217640021
4,-0.00396074861632,0.99999457597,-0.0003276764228,0.0982686338956,9,0.0001111542,88.7507545442,0.0961755365499,2.75195844175,0.0757177440447,0.993292751549,0.630008518065,0.0339375968583,40.5051366628,869.647015751,0,4.49846815692,0.757573021553,1,0.868099651828,0.4,0.2,0.9,transitoire,0.0242672755371,0.0158500929018,0.1,0.102218593469,tanh,0.1,,,,0.24225871418,0.265960327882,0.4,0.747239860731
4.1,-0.00735990283818,0.99999521047,-0.000202635322361,0.0967802685956,9,0.0001092333,7.21072149802,0.0946073397578,2.22965477829,0.110954232555,0.99328604094,0.61048069186,0.0349497610537,40.6240914873,-815.400330462,0,4.52814573801,0.757820528698,1,0.868019764235,0.4,0.2,0.9,transitoire,0.0231085554155,0.0228357848571,0.190022852233,0.19123944179,tanh,0.1,,,,0.24728986467,0.303077620053,0.4,0.747207905694
4.2,-0.00610202444216,0.999995821554,-0.00102665432808,0.0951205693323,5,0.00010725,2.00851250562,0.0931097828614,2.28383606545,0.111017280897,0.993286028927,0.599015512485,0.0255438154625,40.6240914873,-52.022089924,0,4.55821750128,0.757832850919,1,0.867541656299,0.4,0.2,0.9,transitoire,0.0226245626625,0.0243797630282,0.222900223606,0.222605598341,tanh,0.1,,,,0.270667285406,0.266236647858,0.4,0.747016662519
4.3,-0.00681132326382,0.999996393743,-0.000940754898904,0.0965204044231,5,0.0001087,1.4479207228,0.094736064209,2.30486858818,0.0968557897103,0.993288726716,0.594766611698,0.0234061385738,40.6240914873,-5.60591782813,0,4.80776277899,0.757993156226,1,0.86735412497,0.4,0.2,0.8,chronique,0.0223124874386,0.0230280177461,0.251463204387,0.250871611103,tanh,0.1,,,,0.295421666681,0.267056467342,0.4,0.746941649988
4.4,-0.0102458572749,0.999996910727,-0.000955033579663,0.0961096382867,5,0.0001076375,4.39310331581,0.0944596980452,2.32315342397,0.0901656618899,0.993290000823,0.599937683429,0.0205509401644,40.6240914873,29.45182593,0,4.55821750128,0.758727887886,1,0.867912943892,0.4,0.2,0.8,transitoire,0.0219234801144,0.0228285192813,0.434648487451,0.434002541352,tanh,0.1,,,,0.302134273843,0.274962937874,0.4,0.747165177557
4.5,-0.00874064435379,0.999997355467,-0.000929167602969,0.0961235387163,8,0.000106725,3.47066582052,0.0945717849771,2.43169067754,0.0939275788718,0.993289284411,0.605917205816,0.0129973957918,37.1756951463,-9.22437495285,0,4.54662221213,0.759218333713,1,0.868244604811,0.4,0.2,0.8,transitoire,0.0215574136454,0.0197914190321,0.614317487351,0.6133816374,tanh,0.1,,,,0.303583272725,0.266728208093,0.4,0.747297841924
4.6,-0.0145779899498,0.999997710293,-0.000751459303568,0.0966176842746,9,0.0001040292,2.11867272855,0.0951826851565,2.53813438914,0.0953025582655,0.993289022544,0.623283885637,0.0226687896691,37.1756951463,-13.5199309197,0,4.53508576597,0.76042493739,1,0.869621103385,0.4,0.2,0.8,transitoire,0.0209849858035,0.0160104101757,0.718899205547,0.720003788967,tanh,0.1,,,,0.302656361124,0.265218152484,0.4,0.747848441354
4.7,-0.0212701581281,0.999997957021,-0.000523663145611,0.0950659841532,9,0.000104825,1.06264233118,0.0934147309218,2.60047726421,0.0685280624916,0.993294119969,0.635607634115,0.0267152143455,37.1756951463,-10.5603039737,0,4.51670274651,0.761954594834,1,0.870589989521,0.4,0.2,0.8,chronique,0.0201673200372,0.0147294276861,0.762305673261,0.765706190358,tanh,0.1,,,,0.321475478398,0.265997918041,0.4,0.748235995808
